index,time,open,high,low,close,volume
ACB,1/24/2014 0:00,8.23,8.45,8.01,8.14,8417060
ACB,1/27/2014 0:00,8.1,8.14,7.84,7.97,3240910
ACB,2/6/2014 0:00,7.88,7.93,7.62,7.62,959590
ACB,2/7/2014 0:00,7.54,7.58,7.15,7.19,2987600
ACB,2/10/2014 0:00,7.15,7.45,7.02,7.36,4052090
ACB,2/11/2014 0:00,7.45,7.45,7.32,7.32,1938480
ACB,2/12/2014 0:00,7.28,7.32,7.23,7.28,1176180
ACB,2/13/2014 0:00,7.28,7.32,7.19,7.19,2156140
ACB,2/14/2014 0:00,7.28,7.36,7.19,7.28,1489380
ACB,2/17/2014 0:00,7.32,7.32,7.19,7.23,1173560
ACB,2/18/2014 0:00,7.23,7.23,7.19,7.19,1861540
ACB,2/19/2014 0:00,7.23,7.28,7.15,7.19,2988120
ACB,2/20/2014 0:00,7.23,7.45,7.19,7.32,3243650
ACB,2/21/2014 0:00,7.28,7.28,7.23,7.23,903040
ACB,2/24/2014 0:00,7.28,7.28,7.19,7.23,833430
ACB,2/25/2014 0:00,7.19,7.23,7.15,7.23,1249150
ACB,2/26/2014 0:00,7.23,7.32,7.19,7.23,1399670
ACB,2/27/2014 0:00,7.23,7.54,7.23,7.32,3731900
ACB,2/28/2014 0:00,7.28,7.36,7.28,7.36,1154560
ACB,3/3/2014 0:00,7.32,7.36,7.23,7.23,954830
ACB,3/4/2014 0:00,7.19,7.23,7.15,7.19,1551740
ACB,3/5/2014 0:00,7.23,7.28,7.19,7.19,737090
ACB,3/6/2014 0:00,7.19,7.23,7.15,7.19,768340
ACB,3/7/2014 0:00,7.19,7.23,7.19,7.19,773450
ACB,3/10/2014 0:00,7.19,7.28,7.19,7.23,957770
ACB,3/11/2014 0:00,7.19,7.23,7.19,7.19,752790
ACB,3/12/2014 0:00,7.19,7.23,7.15,7.15,979430
ACB,3/13/2014 0:00,7.19,7.19,7.1,7.15,806950
ACB,3/14/2014 0:00,7.19,7.23,7.1,7.19,924510
ACB,3/17/2014 0:00,7.19,7.23,7.15,7.19,989350
ACB,3/18/2014 0:00,7.19,7.32,7.15,7.28,2171570
ACB,3/19/2014 0:00,7.32,7.54,7.32,7.54,5624790
ACB,3/20/2014 0:00,7.58,7.8,7.58,7.67,3325420
ACB,3/21/2014 0:00,7.58,7.71,7.58,7.58,1236010
ACB,3/24/2014 0:00,7.67,7.8,7.62,7.62,2498010
ACB,3/25/2014 0:00,7.67,7.67,7.45,7.45,2051430
ACB,3/26/2014 0:00,7.49,7.49,7.23,7.28,2030920
ACB,3/27/2014 0:00,7.32,7.32,7.23,7.28,1026180
ACB,3/28/2014 0:00,7.28,7.36,7.28,7.36,713160
ACB,3/31/2014 0:00,7.41,7.41,7.28,7.28,831760
ACB,4/1/2014 0:00,7.32,7.32,7.19,7.23,1701600
ACB,4/2/2014 0:00,7.23,7.28,7.15,7.23,1217110
ACB,4/3/2014 0:00,7.23,7.32,7.19,7.28,519700
ACB,4/4/2014 0:00,7.32,7.32,7.23,7.32,608360
ACB,4/7/2014 0:00,7.28,7.32,7.23,7.28,441790
ACB,4/8/2014 0:00,7.28,7.32,7.23,7.23,515610
ACB,4/10/2014 0:00,7.23,7.28,7.23,7.23,485550
ACB,4/11/2014 0:00,7.19,7.23,7.15,7.19,670380
ACB,4/14/2014 0:00,7.23,7.28,7.19,7.23,414100
ACB,4/15/2014 0:00,7.19,7.23,7.15,7.15,480360
ACB,4/16/2014 0:00,7.15,7.15,6.84,6.93,1065090
ACB,4/17/2014 0:00,6.93,7.1,6.93,6.97,681040
ACB,4/18/2014 0:00,6.97,7.02,6.89,6.89,763370
ACB,4/21/2014 0:00,6.89,6.89,6.67,6.71,565920
ACB,4/22/2014 0:00,6.67,6.84,6.63,6.84,529160
ACB,4/23/2014 0:00,6.89,6.89,6.76,6.84,217960
ACB,4/24/2014 0:00,6.8,6.89,6.8,6.89,288090
ACB,4/25/2014 0:00,6.8,6.93,6.8,6.8,516240
ACB,4/28/2014 0:00,6.8,6.84,6.76,6.8,336220
ACB,4/29/2014 0:00,6.8,6.84,6.8,6.84,202970
ACB,5/5/2014 0:00,6.89,6.89,6.71,6.76,301760
ACB,5/6/2014 0:00,6.71,6.76,6.54,6.58,479520
ACB,5/7/2014 0:00,6.58,6.76,6.58,6.71,274120
ACB,5/8/2014 0:00,6.63,6.63,6.28,6.32,1515840
ACB,5/9/2014 0:00,6.24,6.41,6.24,6.41,308830
ACB,5/12/2014 0:00,6.37,6.37,5.98,6.06,520700
ACB,5/13/2014 0:00,5.85,6.15,5.85,6.11,695610
ACB,5/14/2014 0:00,6.06,6.41,6.06,6.37,473470
ACB,5/15/2014 0:00,6.41,6.41,6.02,6.15,636940
ACB,5/16/2014 0:00,6.15,6.32,6.11,6.32,333670
ACB,5/19/2014 0:00,6.24,6.37,6.24,6.28,357580
ACB,5/20/2014 0:00,6.28,6.37,6.24,6.37,181780
ACB,5/21/2014 0:00,6.32,6.5,6.24,6.45,604540
ACB,5/22/2014 0:00,6.45,6.45,6.32,6.32,233070
ACB,5/23/2014 0:00,6.37,6.37,6.28,6.37,163360
ACB,5/26/2014 0:00,6.28,6.37,6.28,6.32,103450
ACB,5/27/2014 0:00,6.32,6.5,6.32,6.5,445140
ACB,5/28/2014 0:00,6.5,6.5,6.41,6.45,404820
ACB,5/29/2014 0:00,6.41,6.5,6.41,6.45,423040
ACB,5/30/2014 0:00,6.41,6.45,6.37,6.41,192420
ACB,6/2/2014 0:00,6.41,6.41,6.28,6.32,278960
ACB,6/3/2014 0:00,6.28,6.37,6.28,6.28,168500
ACB,6/4/2014 0:00,6.28,6.32,6.19,6.28,157450
ACB,6/5/2014 0:00,6.28,6.28,6.19,6.28,54870
ACB,6/6/2014 0:00,6.24,6.32,6.24,6.32,91870
ACB,6/9/2014 0:00,6.32,6.37,6.24,6.28,162110
ACB,6/10/2014 0:00,6.28,6.41,6.24,6.37,216450
ACB,6/11/2014 0:00,6.37,6.37,6.28,6.37,361280
ACB,6/12/2014 0:00,6.37,6.45,6.37,6.45,454450
ACB,6/13/2014 0:00,6.41,6.5,6.37,6.45,507030
ACB,6/16/2014 0:00,6.45,6.5,6.41,6.45,343780
ACB,6/17/2014 0:00,6.45,6.5,6.41,6.45,241630
ACB,6/18/2014 0:00,6.45,6.5,6.41,6.45,427080
ACB,6/19/2014 0:00,6.41,6.45,6.32,6.45,310390
ACB,6/20/2014 0:00,6.41,6.45,6.37,6.37,136260
ACB,6/23/2014 0:00,6.37,6.45,6.37,6.45,210760
ACB,6/24/2014 0:00,6.41,6.5,6.41,6.5,317550
ACB,6/25/2014 0:00,6.45,6.5,6.41,6.5,282130
ACB,6/26/2014 0:00,6.45,6.63,6.41,6.54,561760
ACB,6/27/2014 0:00,6.5,6.58,6.5,6.58,295440
ACB,6/30/2014 0:00,6.58,6.58,6.5,6.58,259480
ACB,7/1/2014 0:00,6.54,6.54,6.5,6.54,375930
ACB,7/2/2014 0:00,6.54,6.63,6.5,6.58,650420
ACB,7/3/2014 0:00,6.58,6.63,6.54,6.58,391260
ACB,7/4/2014 0:00,6.58,6.58,6.54,6.58,206750
ACB,7/7/2014 0:00,6.54,6.58,6.5,6.5,252570
ACB,7/8/2014 0:00,6.5,6.54,6.41,6.41,284940
ACB,7/9/2014 0:00,6.45,6.54,6.41,6.5,304900
ACB,7/10/2014 0:00,6.5,6.5,6.41,6.41,344960
ACB,7/11/2014 0:00,6.45,6.45,6.41,6.45,117230
ACB,7/14/2014 0:00,6.41,6.45,6.37,6.41,82990
ACB,7/15/2014 0:00,6.41,6.45,6.37,6.45,355370
ACB,7/16/2014 0:00,6.5,6.5,6.45,6.45,356200
ACB,7/17/2014 0:00,6.45,6.5,6.41,6.45,103650
ACB,7/18/2014 0:00,6.5,6.5,6.45,6.5,347570
ACB,7/21/2014 0:00,6.45,6.5,6.41,6.45,126260
ACB,7/22/2014 0:00,6.41,6.45,6.37,6.41,95750
ACB,7/23/2014 0:00,6.45,6.45,6.37,6.37,142650
ACB,7/24/2014 0:00,6.37,6.45,6.37,6.41,185940
ACB,7/25/2014 0:00,6.41,6.8,6.41,6.63,1736770
ACB,7/28/2014 0:00,6.63,6.67,6.54,6.63,450520
ACB,7/29/2014 0:00,6.67,6.67,6.54,6.54,242380
ACB,7/30/2014 0:00,6.54,6.67,6.5,6.58,1349570
ACB,7/31/2014 0:00,6.58,6.63,6.54,6.58,356880
