symbol,time,open,high,low,close,volume,lag_1,lag_2,rolling_mean_3,rolling_std_3,momentum_1,index_encoded,7 days,1 month,1 quarter
ACB,2014-01-24,8.23,8.45,8.01,8.14,8417060,8.14,8.14,7.91,0.265141471671257,-0.17000000000000082,0,-6.88%,-7.05%,-3.76%
ACB,2014-01-27,8.1,8.14,7.84,7.97,3240910,8.14,8.14,7.91,0.265141471671257,-0.17000000000000082,0,-6.88%,-7.05%,-3.76%
ACB,2014-02-06,7.88,7.93,7.62,7.62,959590,7.97,8.14,7.91,0.265141471671257,-0.34999999999999964,0,-6.88%,-7.05%,-3.76%
ACB,2014-02-07,7.54,7.58,7.15,7.19,2987600,7.62,7.97,7.593333333333334,0.3906831623366088,-0.4299999999999997,0,-6.88%,-7.05%,-3.76%
ACB,2014-02-10,7.15,7.45,7.02,7.36,4052090,7.19,7.62,7.390000000000001,0.21656407827707758,0.16999999999999993,0,-6.88%,-7.05%,-3.76%
ACB,2014-02-11,7.45,7.45,7.32,7.32,1938480,7.36,7.19,7.29,0.08888194417315756,-0.040000000000000036,0,-6.88%,-7.05%,-3.76%
ACB,2014-02-12,7.28,7.32,7.23,7.28,1176180,7.32,7.36,7.32,0.040000000000004296,-0.040000000000000036,0,-6.88%,-7.05%,-3.76%
ACB,2014-02-13,7.28,7.32,7.19,7.19,2156140,7.28,7.32,7.263333333333333,0.06658328118479662,-0.08999999999999986,0,-6.88%,-7.05%,-3.76%
ACB,2014-02-14,7.28,7.36,7.19,7.28,1489380,7.19,7.28,7.25,0.05196152422706982,0.08999999999999986,0,-6.88%,-7.05%,-3.76%
ACB,2014-02-17,7.32,7.32,7.19,7.23,1173560,7.28,7.19,7.233333333333333,0.04509249752823275,-0.04999999999999982,0,-6.88%,-7.05%,-3.76%
ACB,2014-02-18,7.23,7.23,7.19,7.19,1861540,7.23,7.28,7.233333333333334,0.04509249752823275,-0.040000000000000036,0,-6.88%,-7.05%,-3.76%
ACB,2014-02-19,7.23,7.28,7.15,7.19,2988120,7.19,7.23,7.203333333333333,0.023094010767591988,0.0,0,-6.88%,-7.05%,-3.76%
ACB,2014-02-20,7.23,7.45,7.19,7.32,3243650,7.19,7.19,7.233333333333333,0.07505553499465364,0.1299999999999999,0,-6.88%,-7.05%,-3.76%
ACB,2014-02-21,7.28,7.28,7.23,7.23,903040,7.32,7.19,7.246666666666667,0.06658328118479664,-0.08999999999999986,0,-6.88%,-7.05%,-3.76%
ACB,2014-02-24,7.28,7.28,7.19,7.23,833430,7.23,7.32,7.260000000000001,0.05196152422706986,0.0,0,-6.88%,-7.05%,-3.76%
ACB,2014-02-25,7.19,7.23,7.15,7.23,1249150,7.23,7.23,7.23,0.0,0.0,0,-6.88%,-7.05%,-3.76%
ACB,2014-02-26,7.23,7.32,7.19,7.23,1399670,7.23,7.23,7.23,0.0,0.0,0,-6.88%,-7.05%,-3.76%
ACB,2014-02-27,7.23,7.54,7.23,7.32,3731900,7.23,7.23,7.260000000000001,0.05196152422706986,0.08999999999999986,0,-6.88%,-7.05%,-3.76%
ACB,2014-02-28,7.28,7.36,7.28,7.36,1154560,7.32,7.23,7.303333333333334,0.06658328118479664,0.040000000000000036,0,-6.88%,-7.05%,-3.76%
ACB,2014-03-03,7.32,7.36,7.23,7.23,954830,7.36,7.32,7.303333333333334,0.06658328118479664,-0.1299999999999999,0,-6.88%,-7.05%,-3.76%
ACB,2014-03-04,7.19,7.23,7.15,7.19,1551740,7.23,7.36,7.260000000000001,0.08888194417315765,-0.040000000000000036,0,-6.88%,-7.05%,-3.76%
ACB,2014-03-05,7.23,7.28,7.19,7.19,737090,7.19,7.23,7.203333333333333,0.023094010767589244,0.0,0,-6.88%,-7.05%,-3.76%
ACB,2014-03-06,7.19,7.23,7.15,7.19,768340,7.19,7.19,7.19,0.0,0.0,0,-6.88%,-7.05%,-3.76%
ACB,2014-03-07,7.19,7.23,7.19,7.19,773450,7.19,7.19,7.19,0.0,0.0,0,-6.88%,-7.05%,-3.76%
ACB,2014-03-10,7.19,7.28,7.19,7.23,957770,7.19,7.19,7.203333333333333,0.023094010767589244,0.040000000000000036,0,-6.88%,-7.05%,-3.76%
ACB,2014-03-11,7.19,7.23,7.19,7.19,752790,7.23,7.19,7.203333333333333,0.023094010767589244,-0.040000000000000036,0,-6.88%,-7.05%,-3.76%
ACB,2014-03-12,7.19,7.23,7.15,7.15,979430,7.19,7.23,7.19,0.04000000000000198,-0.040000000000000036,0,-6.88%,-7.05%,-3.76%
ACB,2014-03-13,7.19,7.19,7.1,7.15,806950,7.15,7.19,7.163333333333334,0.02309401076758694,0.0,0,-6.88%,-7.05%,-3.76%
ACB,2014-03-14,7.19,7.23,7.1,7.19,924510,7.15,7.15,7.163333333333334,0.02309401076758694,0.040000000000000036,0,-6.88%,-7.05%,-3.76%
ACB,2014-03-17,7.19,7.23,7.15,7.19,989350,7.19,7.15,7.176666666666667,0.02309401076758726,0.0,0,-6.88%,-7.05%,-3.76%
ACB,2014-03-18,7.19,7.32,7.15,7.28,2171570,7.19,7.19,7.22,0.0519615242270679,0.08999999999999986,0,-6.88%,-7.05%,-3.76%
ACB,2014-03-19,7.32,7.54,7.32,7.54,5624790,7.28,7.19,7.336666666666667,0.18175074506954214,0.2599999999999998,0,-6.88%,-7.05%,-3.76%
ACB,2014-03-20,7.58,7.8,7.58,7.67,3325420,7.54,7.28,7.496666666666666,0.19857828011475542,0.1299999999999999,0,-6.88%,-7.05%,-3.76%
ACB,2014-03-21,7.58,7.71,7.58,7.58,1236010,7.67,7.54,7.596666666666667,0.06658328118480465,-0.08999999999999986,0,-6.88%,-7.05%,-3.76%
ACB,2014-03-24,7.67,7.8,7.62,7.62,2498010,7.58,7.67,7.623333333333334,0.045092497528246366,0.040000000000000036,0,-6.88%,-7.05%,-3.76%
ACB,2014-03-25,7.67,7.67,7.45,7.45,2051430,7.62,7.58,7.55,0.08888194417316216,-0.16999999999999993,0,-6.88%,-7.05%,-3.76%
ACB,2014-03-26,7.49,7.49,7.23,7.28,2030920,7.45,7.62,7.45,0.17000000000000104,-0.16999999999999993,0,-6.88%,-7.05%,-3.76%
ACB,2014-03-27,7.32,7.32,7.23,7.28,1026180,7.28,7.45,7.336666666666667,0.0981495457622339,0.0,0,-6.88%,-7.05%,-3.76%
ACB,2014-03-28,7.28,7.36,7.28,7.36,713160,7.28,7.28,7.3066666666666675,0.04618802153516232,0.08000000000000007,0,-6.88%,-7.05%,-3.76%
ACB,2014-03-31,7.41,7.41,7.28,7.28,831760,7.36,7.28,7.3066666666666675,0.04618802153516232,-0.08000000000000007,0,-6.88%,-7.05%,-3.76%
ACB,2014-04-01,7.32,7.32,7.19,7.23,1701600,7.28,7.36,7.29,0.06557438524301336,-0.04999999999999982,0,-6.88%,-7.05%,-3.76%
ACB,2014-04-02,7.23,7.28,7.15,7.23,1217110,7.23,7.28,7.246666666666667,0.028867513459459045,0.0,0,-6.88%,-7.05%,-3.76%
ACB,2014-04-03,7.23,7.32,7.19,7.28,519700,7.23,7.23,7.246666666666667,0.028867513459459045,0.04999999999999982,0,-6.88%,-7.05%,-3.76%
ACB,2014-04-04,7.32,7.32,7.23,7.32,608360,7.28,7.23,7.276666666666666,0.045092497528217985,0.040000000000000036,0,-6.88%,-7.05%,-3.76%
ACB,2014-04-07,7.28,7.32,7.23,7.28,441790,7.32,7.28,7.293333333333333,0.02309401076756733,-0.040000000000000036,0,-6.88%,-7.05%,-3.76%
ACB,2014-04-08,7.28,7.32,7.23,7.23,515610,7.28,7.32,7.276666666666667,0.045092497528217985,-0.04999999999999982,0,-6.88%,-7.05%,-3.76%
ACB,2014-04-10,7.23,7.28,7.23,7.23,485550,7.23,7.28,7.246666666666667,0.028867513459459048,0.0,0,-6.88%,-7.05%,-3.76%
